爱,ài,verb,to love
吧,ba,auxiliary,(suggestion)
八,bā,numeral,eight
爸爸,bà ba,noun,father
白,bái,adjective,white
百,bǎi,numeral,hundred
帮助,bāng zhù,verb,to help
北京,běi jīng,noun,Beijing
杯子,bēi zi,noun,cup
本,běn,measure word,volume (of books）
比,bǐ,preposition,to compare with
别,bié,adverb,do not
不,bù,adverb,no
不客气,bú kè qì,verb,you’re welcome
菜,cài,noun,dish
茶,chá,noun,tea
唱歌,chàng gē,verb,to sing
吃,chī,verb,to eat
出,chū,verb,to go out
出租车,chū zū chē,noun,taxi
船,chuán,noun,boat
穿,chuān,verb,to wear
次,cì,classifier,time
从,cóng,preposition,from
错,cuò,adjective,wrong
大,dà,adjective,"big, large"
打电话,dǎ diàn huà,verb,to make a phone call
大家,dà jiā,pronoun,everyone
打篮球,dǎ lán qiú,phrase,to play basketball
但是,dàn shì,conjunction,but
到,dào,verb,to arrive
的,de,auxiliary,a subordinating particle that can be used to indicate possession
得,děi,auxiliary,(adverbial particle)
等,děng,verb,to wait
地,dì,auxiliary,(adverbial particle)
弟弟,dì di,noun,younger brother
第一,dì yī,numeral,first
点,diǎn,noun,o’clock
电脑,diàn nǎo,noun,computer
电视,diàn shì,noun,television
电影,diàn yǐng,noun,movie
东西,dōng xi,noun,"thing, stuff"
都,dōu,adverb,"both, all"
读,dú,verb,to read
对,duì,adjective,right
对,duì,preposition,towards
对不起,duì bu qǐ,verb,sorry
多,duō,adjective,"many, much"
多少,duō shao,pronoun,"how many, how much"
二,èr,numeral,two
儿子,ér zi,noun,son
饭店,fàn diàn,noun,restaurant
房间,fáng jiān,noun,room
非常,fēi cháng,adverb,very
飞机,fēi jī,noun,airplane
分钟,fēn zhōng,noun,minute
服务员,fú wù yuán,noun,waiter
高,gāo,adjective,tall
告诉,gào sù,verb,to tell
高兴,gāo xìng,adjective,happy
个,gè,measure word,measure word
哥哥,gē ge,noun,older brother
给,gěi,verb,to give
公共汽车,gōng gòng qì chē,noun,bus
公斤,gōng jīn,classifier,kilogram
公司,gōng sī,noun,company
工作,gōng zuò,verb & noun,"to work, job"
狗,gǒu,noun,dog
贵,guì,adjective,expensive
过,guò,auxiliary,(perfect tense)
孩子,hái zi,noun,child
汉语,hàn yǔ,noun,Chinese language
号,hào,noun,number
好,hǎo,adjective,"good, nice"
好吃,hǎo chī,adjective,delicious
和,hé,conjunction,and
喝,hē,verb,to drink
黑,hēi,adjective,black
很,hěn,adverb,very
红,hóng,adjective,red
后面,hòu mian,noun,back
还,huán,adverb,still
欢迎,huān yíng,verb,to welcome
回,huí,verb,to return
会,huì,verb,"can, know how to"
回答,huí dá,verb,to answer
火车站,huǒ chē zhàn,noun,railway station
几,jǐ,pronoun,how many
机场,jī chǎng,noun,airport
鸡蛋,jī dàn,noun,egg
家,jiā,noun,home
件,jiàn,classifier,measure word for clothing or matters
叫,jiào,verb,to call
教室,jiào shì,noun,classroom
姐姐,jiě jie,noun,older sister
介绍,jiè shào,verb,to introduce
近,jìn,adjective,close
进,jìn,verb,to enter
今天,jīn tiān,noun,today
就,jiù,adverb,only
九,jiǔ,numeral,nine
觉得,jué de,verb,to think
咖啡,kā fēi,noun,coffee
开,kāi,verb,to open
开始,kāi shǐ,verb,to begin
看,kān,verb,to look at
看见,kàn jiàn,verb,to see
考试,kǎo shì,noun,exam
课,kè,noun,lesson
可能,kě néng,verb,to be possible
可以,kě yǐ,verb,can
快,kuài,adjective,quick
块,kuài,measure word,piece
快乐,kuài lè,adjective,happy
来,lái,verb,to come
老师,lǎo shī,noun,teacher
累,lèi,adjective,tired
